split,image,class_id,class_name,probability,target_mode,heatmap_threshold,overlay_file,mask_file,roi_mask_file,bbox_file,component_count,largest_component_bbox_xywh,component_bboxes_xywh,component_bboxes_yolo
train,CXR015_001.jpg,0,infiltrat,0.894214,predicted,0.5000,overlays/0000_train_cxr015_001_infiltrat_heatmap.jpg,masks/0000_train_cxr015_001_infiltrat_mask.png,lung segmentation/output_masks/train/CXR015_001.jpg,bboxes/0000_train_cxr015_001_infiltrat_bbox.jpg,1,"35,43,67,95","35,43,67,95",0 0.305804 0.404018 0.299107 0.424107
train,CXR018_001.jpg,0,infiltrat,0.778308,predicted,0.5000,overlays/0001_train_cxr018_001_infiltrat_heatmap.jpg,masks/0001_train_cxr018_001_infiltrat_mask.png,lung segmentation/output_masks/train/CXR018_001.jpg,bboxes/0001_train_cxr018_001_infiltrat_bbox.jpg,2,"42,54,49,76","42,54,49,76|88,98,10,18",0 0.296875 0.410714 0.218750 0.339286|0 0.415179 0.477679 0.044643 0.080357
train,CXR018_002.jpg,0,infiltrat,0.626057,predicted,0.5000,overlays/0002_train_cxr018_002_infiltrat_heatmap.jpg,masks/0002_train_cxr018_002_infiltrat_mask.png,lung segmentation/output_masks/train/CXR018_002.jpg,bboxes/0002_train_cxr018_002_infiltrat_bbox.jpg,1,"35,45,57,78","35,45,57,78",0 0.283482 0.375000 0.254464 0.348214
train,CXR018_003.jpg,0,infiltrat,0.523680,predicted,0.5000,overlays/0003_train_cxr018_003_infiltrat_heatmap.jpg,masks/0003_train_cxr018_003_infiltrat_mask.png,lung segmentation/output_masks/train/CXR018_003.jpg,bboxes/0003_train_cxr018_003_infiltrat_bbox.jpg,1,"31,61,34,69","31,61,34,69",0 0.214286 0.426339 0.151786 0.308036
train,CXR019_001.jpg,0,infiltrat,0.723241,predicted,0.5000,overlays/0004_train_cxr019_001_infiltrat_heatmap.jpg,masks/0004_train_cxr019_001_infiltrat_mask.png,lung segmentation/output_masks/train/CXR019_001.jpg,bboxes/0004_train_cxr019_001_infiltrat_bbox.jpg,1,"38,25,74,98","38,25,74,98",0 0.334821 0.330357 0.330357 0.437500
train,CXR019_002.jpg,0,infiltrat,0.566283,predicted,0.5000,overlays/0005_train_cxr019_002_infiltrat_heatmap.jpg,masks/0005_train_cxr019_002_infiltrat_mask.png,lung segmentation/output_masks/train/CXR019_002.jpg,bboxes/0005_train_cxr019_002_infiltrat_bbox.jpg,1,"21,34,70,82","21,34,70,82",0 0.250000 0.334821 0.312500 0.366071
train,CXR019_003.jpg,0,infiltrat,0.562083,predicted,0.5000,overlays/0006_train_cxr019_003_infiltrat_heatmap.jpg,masks/0006_train_cxr019_003_infiltrat_mask.png,lung segmentation/output_masks/train/CXR019_003.jpg,bboxes/0006_train_cxr019_003_infiltrat_bbox.jpg,1,"33,18,69,84","33,18,69,84",0 0.301339 0.267857 0.308036 0.375000
train,CXR019_003.jpg,2,efusi pleura,0.543828,predicted,0.5000,overlays/0006_train_cxr019_003_efusi_pleura_heatmap.jpg,masks/0006_train_cxr019_003_efusi_pleura_mask.png,lung segmentation/output_masks/train/CXR019_003.jpg,bboxes/0006_train_cxr019_003_efusi_pleura_bbox.jpg,1,"18,114,63,51","18,114,63,51",2 0.220982 0.622768 0.281250 0.227679
train,CXR052_001.jpg,0,infiltrat,0.561069,predicted,0.5000,overlays/0007_train_cxr052_001_infiltrat_heatmap.jpg,masks/0007_train_cxr052_001_infiltrat_mask.png,lung segmentation/output_masks/train/CXR052_001.jpg,bboxes/0007_train_cxr052_001_infiltrat_bbox.jpg,1,"40,96,52,36","40,96,52,36",0 0.294643 0.508929 0.232143 0.160714
train,CXR052_001.jpg,1,pneumothorax,0.512545,predicted,0.5000,overlays/0007_train_cxr052_001_pneumothorax_heatmap.jpg,masks/0007_train_cxr052_001_pneumothorax_mask.png,lung segmentation/output_masks/train/CXR052_001.jpg,bboxes/0007_train_cxr052_001_pneumothorax_bbox.jpg,1,"41,51,57,85","41,51,57,85",1 0.310268 0.417411 0.254464 0.379464
