stage,epoch,train_loss,val_loss
A,1,1.231461976468563,6.667535675896539
A,2,0.9782960891723633,4.477697451909383
A,3,0.7695225268602371,3.37040589650472
A,4,0.738183057308197,2.845775728755527
A,5,0.6172889232635498,2.9161091910468206
A,6,0.6334108456969261,3.0184112601810034
A,7,0.5647797212004662,2.5999754852718775
A,8,0.5048554241657257,3.092397101720174
A,9,0.5176097050309181,3.583992830912272
A,10,0.48746594339609145,3.347793295648363
B,1,0.4741605222225189,4.1245131095250445
B,2,0.45283723026514056,4.161625530984667
B,3,0.48267784118652346,4.378536309136285
B,4,0.460427762567997,4.240994339519077
B,5,0.4506800711154938,4.251067209243774
B,6,0.47107111662626266,4.132542053858439
B,7,0.44918436408042905,3.894439967473348
B,8,0.4515737310051918,4.244890774620904
B,9,0.444044491648674,4.254398168457879
B,10,0.4569563642144203,4.207196084658305
B,11,0.4411356270313263,4.207759618759155
B,12,0.44700857996940613,4.107391577296787
B,13,0.4694856971502304,4.355964559978909
B,14,0.4377772346138954,4.16923738055759
