filename,predicted_class,component_rank,heatmap_threshold,label_id,x,y,width,height,area,centroid_x,centroid_y
CXR075_001.jpg,kavitas,1,0.5000,2,0,88,32,40,1040,12.889423076923077,107.88076923076923
CXR075_001.jpg,kavitas,2,0.5000,1,0,33,31,38,949,12.332982086406744,51.168598524762906
CXR075_001.jpg,infiltrat,1,0.5000,3,130,50,62,110,4946,158.25394257986252,106.14779619894864
CXR075_001.jpg,infiltrat,2,0.5000,2,0,37,32,83,2219,13.174402884182063,78.29833258224426
CXR075_001.jpg,infiltrat,3,0.5000,1,107,0,33,40,1121,122.19982158786797,16.992863514719
CXR075_001.jpg,limfadenopati,1,0.5000,1,0,0,32,32,925,14.291891891891892,14.291891891891892
CXR075_001.jpg,tuberkuloma,1,0.5000,1,125,61,62,89,3562,157.98512071869737,107.76024705221785
CXR075_001.jpg,bronkiektasis,1,0.5000,1,0,0,32,32,925,14.291891891891892,14.291891891891892
CXR075_001.jpg,pneumothorax,1,0.5000,1,107,65,80,76,4034,151.41398116013883,103.81036192364898
CXR075_001.jpg,efusi pleura,1,0.5000,1,33,44,144,93,8628,104.59017153453871,91.88421418636996
CXR075_001.jpg,atelektasis,1,0.5000,1,22,28,100,90,7173,71.96263766903667,72.35257214554579
CXR075_002.jpg,kavitas,1,0.5000,1,0,32,32,96,2863,14.684596577017114,79.31365700314356
CXR075_002.jpg,infiltrat,1,0.5000,1,0,0,145,74,7903,77.56269770973049,35.04985448563836
CXR075_002.jpg,infiltrat,2,0.5000,2,145,64,50,82,2530,171.78102766798418,108.82687747035573
CXR075_002.jpg,limfadenopati,1,0.5000,1,0,0,32,64,1922,14.700832466181062,30.354318418314257
CXR075_002.jpg,tuberkuloma,1,0.5000,1,145,68,52,73,2288,172.36582167832168,108.14466783216783
CXR075_002.jpg,bronkiektasis,1,0.5000,1,0,0,32,63,1901,14.783798001052078,29.514466070489217
CXR075_002.jpg,pneumothorax,1,0.5000,1,136,58,67,89,3761,172.70592927412923,105.78941770805636
CXR075_002.jpg,efusi pleura,1,0.5000,1,29,52,113,95,7522,84.61871842595055,97.80138261100771
CXR075_002.jpg,efusi pleura,2,0.5000,2,154,68,30,22,368,170.14402173913044,78.9211956521739
CXR075_002.jpg,atelektasis,1,0.5000,1,35,32,101,95,7258,85.83948746211077,76.04312482777625
CXR072_001.jpg,kavitas,1,0.5000,1,63,51,126,113,10471,130.0942603380766,109.0745869544456
CXR072_001.jpg,infiltrat,1,0.5000,1,71,68,123,114,9961,132.08683867081618,127.9823310912559
CXR072_001.jpg,limfadenopati,1,0.5000,1,64,0,32,32,836,79.5,12.937799043062201
CXR072_001.jpg,tuberkuloma,1,0.5000,1,101,36,123,125,10818,169.75161767424663,92.20317988537623
CXR072_001.jpg,tuberkuloma,2,0.5000,2,0,107,40,7,211,15.440758293838863,110.24644549763033
CXR072_001.jpg,bronkiektasis,1,0.5000,1,64,0,32,32,836,79.5,12.937799043062201
CXR072_001.jpg,pneumothorax,1,0.5000,1,158,51,66,111,6173,192.48598736432854,107.38862789567472
CXR072_001.jpg,pneumothorax,2,0.5000,2,0,101,47,36,1115,16.543497757847533,116.04035874439462
CXR072_001.jpg,efusi pleura,1,0.5000,1,17,136,89,88,5863,57.63653419750981,187.44055944055944
CXR072_001.jpg,atelektasis,1,0.5000,1,0,40,224,137,16675,128.78950524737633,111.70374812593703
CXR070_001.jpg,kavitas,1,0.5000,1,17,35,87,109,6491,54.10044677245417,87.21398859959945
CXR070_001.jpg,infiltrat,1,0.5000,1,0,38,140,130,12177,72.93192083435986,107.02389751170239
CXR070_001.jpg,limfadenopati,1,0.5000,1,64,0,32,32,836,79.5,12.937799043062201
CXR070_001.jpg,limfadenopati,2,0.5000,2,196,31,28,30,703,211.50782361308677,45.615931721194876
CXR070_001.jpg,tuberkuloma,1,0.5000,1,64,86,103,75,6023,116.61912668105595,124.03337207371742
CXR070_001.jpg,bronkiektasis,1,0.5000,1,64,0,32,32,836,79.5,12.937799043062201
CXR070_001.jpg,pneumothorax,1,0.5000,1,124,98,49,73,2543,147.8379866299646,133.6747935509241
CXR070_001.jpg,efusi pleura,1,0.5000,1,0,43,108,89,4875,51.17292307692308,76.93989743589744
CXR070_001.jpg,atelektasis,1,0.5000,3,170,160,54,64,2518,202.27005559968228,196.59253375694996
CXR070_001.jpg,atelektasis,2,0.5000,4,0,176,24,48,987,10.00405268490375,201.4741641337386
CXR070_001.jpg,atelektasis,3,0.5000,2,198,0,26,31,743,211.35127860026918,14.088829071332436
CXR070_002.jpg,kavitas,1,0.5000,2,0,71,43,84,2535,15.336883629191322,116.48599605522682
CXR070_002.jpg,kavitas,2,0.5000,1,43,0,11,19,193,47.979274611398964,8.300518134715025
CXR070_002.jpg,infiltrat,1,0.5000,1,0,119,70,56,2895,34.04801381692573,146.55129533678758
CXR070_002.jpg,limfadenopati,1,0.5000,1,0,0,32,32,925,14.291891891891892,14.291891891891892
CXR070_002.jpg,tuberkuloma,1,0.5000,1,27,30,100,95,8225,75.92547112462006,77.87173252279635
CXR070_002.jpg,bronkiektasis,1,0.5000,1,192,0,32,32,925,208.70810810810812,14.291891891891892
CXR070_002.jpg,pneumothorax,1,0.5000,1,29,31,92,57,3812,72.13982161594963,56.386935991605455
CXR070_002.jpg,efusi pleura,1,0.5000,1,17,29,124,75,6721,79.88349947924416,67.17527153697367
CXR070_002.jpg,atelektasis,1,0.5000,1,32,33,41,97,2669,48.76095916073436,78.33645560134882
CXR070_003.jpg,kavitas,1,0.5000,1,0,26,53,75,2658,18.64747930775019,58.90895410082769
CXR070_003.jpg,infiltrat,1,0.5000,1,0,42,120,124,11863,54.57666694765236,105.7972688190171
CXR070_003.jpg,limfadenopati,1,0.5000,1,160,0,32,32,836,175.5,12.937799043062201
CXR070_003.jpg,tuberkuloma,1,0.5000,1,0,40,131,103,7921,69.96566090140134,96.50195682363338
CXR070_003.jpg,bronkiektasis,1,0.5000,1,160,0,32,32,836,175.5,12.937799043062201
CXR070_003.jpg,pneumothorax,1,0.5000,1,96,101,88,66,3799,132.8944459068176,128.45117136088444
CXR070_003.jpg,efusi pleura,1,0.5000,1,0,26,97,100,6596,39.616585809581565,66.97938144329896
CXR070_003.jpg,atelektasis,1,0.5000,2,0,160,32,32,836,12.937799043062201,175.5
CXR070_003.jpg,atelektasis,2,0.5000,1,165,0,24,27,537,176.4245810055866,10.905027932960893
CXR071_001.jpg,kavitas,1,0.5000,1,88,0,107,61,4923,145.634572415194,24.606540727198862
CXR071_001.jpg,infiltrat,1,0.5000,1,100,0,101,50,3944,153.57936105476674,20.54107505070994
